EmployeeID,Name,Age,Gender,Department,JobRole,MaritalStatus,Education,EducationField,BusinessTravel,DistanceFromHome,HireDate,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,NumCompaniesWorked,MonthlyIncome,PercentSalaryHike,StockOptionLevel,OverTime,WorkLifeBalance,JobSatisfaction,EnvironmentSatisfaction,PerformanceRating,TrainingTimesLastYear,Attrition
1001,Amit Patil,24,Female,R&D,Research Scientist,Divorced,5,Life Sciences,Non-Travel,7,2023-10-19,3,3,0,1,28788,12,0,No,1,3,4,3,4,No
1002,Deepak Bhosale,39,Male,Operations,Operations Executive,Divorced,5,Marketing,Travel_Rarely,27,2022-06-15,15,4,4,0,25268,20,1,No,3,1,1,3,5,No
1003,Ganesh Rao,36,Male,R&D,Research Scientist,Divorced,4,Marketing,Travel_Rarely,15,2011-06-11,15,15,9,4,32999,19,1,No,2,3,1,3,6,No
1004,Meera Nair,25,Female,Finance,Finance Manager,Divorced,1,Other,Travel_Rarely,10,2022-05-05,4,4,3,0,51682,15,2,No,2,4,3,3,3,Yes
1005,Rohan Iyer,31,Male,R&D,Lab Technician,Married,4,Human Resources,Travel_Rarely,23,2019-05-10,7,7,4,0,34371,25,0,Yes,1,2,3,3,6,No
1006,Rohan Deshmukh,29,Female,R&D,Lab Technician,Married,4,Technical Degree,Travel_Rarely,4,2018-06-20,8,8,8,1,31464,14,0,Yes,2,2,1,3,1,No
1007,Tanvi Sharma,30,Female,Operations,Operations Manager,Married,1,Life Sciences,Travel_Rarely,15,2019-12-18,7,7,5,1,43183,13,0,No,2,4,2,3,4,No
1008,Arjun Pawar,37,Male,IT,System Admin,Divorced,5,Human Resources,Travel_Rarely,11,2021-01-26,14,5,2,1,35927,24,0,Yes,3,4,2,3,5,Yes
1009,Vikram Pawar,49,Female,R&D,R&D Manager,Married,1,Medical,Travel_Rarely,7,2015-12-25,26,11,1,1,57280,25,1,Yes,4,2,3,4,0,No
1010,Sneha Iyer,26,Female,Operations,Supervisor,Single,2,Medical,Travel_Rarely,1,2024-12-21,2,2,1,0,28566,13,1,No,3,4,2,3,0,Yes
1011,Suresh Sharma,22,Male,R&D,Research Scientist,Divorced,5,Medical,Travel_Rarely,11,2026-03-17,0,0,0,1,24865,11,3,No,3,3,4,3,4,Yes
1012,Sameer Deshmukh,30,Male,Operations,Operations Executive,Single,1,Human Resources,Travel_Rarely,11,2022-01-25,8,4,3,2,32167,18,2,Yes,3,2,2,3,4,No
1013,Pooja Verma,38,Male,R&D,R&D Manager,Divorced,5,Medical,Travel_Frequently,17,2012-04-22,14,14,8,3,54813,25,3,No,2,1,3,3,1,No
1014,Manish Sharma,30,Female,Operations,Operations Executive,Married,1,Technical Degree,Travel_Frequently,6,2022-09-15,7,4,3,0,35754,13,2,No,3,3,3,3,2,Yes
1015,Aditya Joshi,53,Female,R&D,R&D Manager,Married,1,Marketing,Travel_Frequently,2,2023-12-11,32,3,1,0,36786,23,0,No,4,4,2,3,4,No
1016,Neha Joshi,48,Male,Sales,Account Manager,Single,1,Marketing,Travel_Frequently,20,2018-04-04,27,8,0,5,39106,24,0,Yes,4,3,4,3,0,No
1017,Ritu Kulkarni,40,Female,Sales,Sales Executive,Married,2,Marketing,Non-Travel,26,2017-07-22,18,9,7,4,29636,11,0,No,4,3,2,3,5,No
1018,Priya Bhosale,35,Male,Operations,Supervisor,Single,4,Marketing,Non-Travel,27,2020-12-10,12,6,6,1,27798,22,2,No,1,3,3,3,2,No
1019,Aditya Iyer,21,Female,Sales,Sales Manager,Single,5,Marketing,Travel_Frequently,2,2026-05-27,0,0,0,1,36914,16,0,No,1,2,3,3,6,Yes
